,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season
2347,tt0158371,Sweet and Lowdown,English,USA,95,PG-13,70.0,29750000.0,Sony Pictures Classics,Best Actor in a Leading Role,2,Woody Allen,,Woody Allen,Sean Penn,Samantha Morton,Woody Allen,Comedy' 'Drama,Comedy,Drama,2000-03-10,Winter
2349,tt5649144,The Florida Project,English,USA,111,R,92.0,2000000.0,A24,Best Performance by an Actor in a Supporting Role,1,Sean Baker,Chris Bergoch,Sean Baker,Brooklynn Prince,Bria Vinaite,Willem Dafoe,Drama,Drama,,2017-11-10,Fall
2350,tt0167404,The Sixth Sense,English,USA,107,PG-13,64.0,40000000.0,Buena Vista Pictures,Best Actor in a Supporting Role,6,M. Night Shyamalan,,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Drama' 'Mystery,Drama,Mystery,1999-08-06,Summer
2356,tt1602620,Amour,French,Austria,127,PG-13,94.0,8900000.0,Sony Pictures Classics,Best Motion Picture of the Year,5,Michael Haneke,,Michael Haneke,Jean-Louis Trintignant,Emmanuelle Riva,Isabelle Huppert,Drama' 'Romance,Drama,Romance,2012-09-20,Fall
2361,tt0086617,The Year of Living Dangerously,English,Australia,115,PG,65.0,13000000.0,MGM/UA Entertainment Company,Best Actress in a Supporting Role,1,David Williamson,Peter Weir,Peter Weir,Mel Gibson,Sigourney Weaver,Linda Hunt,Drama' 'Romance,Drama,Romance,1983-02-18,Winter
2362,tt1602098,Albert Nobbs,English,UK,113,R,57.0,8000000.0,LD Entertainment,Best Performance by an Actress in a Leading Role,3,Gabriella Prekop,John Banville,Rodrigo García,Glenn Close,Mia Wasikowska,Aaron Taylor-Johnson,Drama' 'Romance,Drama,Romance,2012-02-22,Winter
2365,tt0086879,Amadeus,English,USA,160,R,88.0,18000000.0,Orion Pictures,Best Actor in a Leading Role,10,Peter Shaffer,Peter Shaffer,Milos Forman,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Biography' 'Drama,Biography,Drama,1984-09-19,Fall
2375,tt0181830,Solomon & Gaenor,English,UK,105,R,58.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film,1,Paul Morrison,,Paul Morrison,Ioan Gruffudd,Nia Roberts,Sue Jones-Davies,Drama' 'Romance,Drama,Romance,1999-04-30,Spring
2376,tt1554091,A Better Life,English,USA,98,PG-13,64.0,10000000.0,Summit Entertainment,Best Performance by an Actor in a Leading Role,1,Eric Eason,Roger L. Simon,Chris Weitz,Demián Bichir,José Julián,"""Eddie 'Piolin' Sotelo""",Drama' 'Romance,Drama,Romance,2011-07-28,Summer
2377,tt0084335,Missing,English,USA,122,PG,78.0,9500000.0,Universal Pictures,Best Actor in a Leading Role,4,Costa-Gavras,Donald E. Stewart,Costa-Gavras,Jack Lemmon,Sissy Spacek,Melanie Mayron,Biography' 'Drama,Biography,Drama,1982-03-12,Winter
2381,tt0078872,The Black Stallion,English,USA,118,G,84.0,2700000.0,United Artists,Best Actor in a Supporting Role,2,Melissa Mathison,Jeanne Rosenberg,Carroll Ballard,Kelly Reno,Mickey Rooney,Teri Garr,Adventure' 'Family,Adventure,Family,1979-10-17,Fall
2383,tt0413015,Mrs. Henderson Presents,English,UK,103,R,71.0,20000000.0,The Weinstein Company,Best Performance by an Actress in a Leading Role,2,David Rose,Kathy Rose,Stephen Frears,Judi Dench,Bob Hoskins,Christopher Guest,Comedy' 'Drama,Comedy,Drama,2006-02-17,Winter
2385,tt0162222,Cast Away,English,USA,143,PG-13,73.0,90000000.0,Twentieth Century Fox,Best Actor in a Leading Role,2,William Broyles Jr.,,Robert Zemeckis,Tom Hanks,Helen Hunt,Paul Sanchez,Adventure' 'Drama,Adventure,Drama,2000-12-22,Winter
2387,tt0083642,The Best Little Whorehouse in Texas,English,USA,114,R,40.0,35000000.0,Universal Pictures,Best Actor in a Supporting Role,1,Larry L. King,Peter Masterson,Colin Higgins,Burt Reynolds,Dolly Parton,Dom DeLuise,Comedy' 'Musical,Comedy,Musical,1982-07-23,Summer
2388,tt0469494,There Will Be Blood,English,USA,158,R,93.0,25000000.0,Paramount Vantage,Best Motion Picture of the Year,8,Paul Thomas Anderson,Upton Sinclair,Paul Thomas Anderson,Daniel Day-Lewis,Paul Dano,Ciarán Hinds,Drama,Drama,,2008-01-25,Winter
2396,tt4136084,Florence Foster Jenkins,English,UK,111,PG-13,71.0,29000000.0,Paramount Pictures,Best Performance by an Actress in a Leading Role,2,Nicholas Martin,,Stephen Frears,Meryl Streep,Hugh Grant,Simon Helberg,Biography' 'Comedy,Biography,Comedy,2016-08-12,Summer
2398,tt0317248,City of God,Portuguese,Brazil,130,R,79.0,25631250.0,Miramax,"Best Writing, Adapted Screenplay",4,Paulo Lins,Bráulio Mantovani,Fernando Meirelles,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,Crime' 'Drama,Crime,Drama,2004-02-13,Winter
2402,tt2802154,Leviathan,Russian,Russia,140,R,92.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Oleg Negin,Andrey Zvyagintsev,Andrey Zvyagintsev,Aleksey Serebryakov,Elena Lyadova,Roman Madyanov,Crime' 'Drama,Crime,Drama,2015-02-05,Winter
2405,tt0119280,Mrs. Brown,English,UK,101,PG,71.0,317000000.0,Buena Vista Home Entertainment,Best Actress in a Leading Role,2,Jeremy Brock,,John Madden,Judi Dench,Billy Connolly,Geoffrey Palmer,Biography' 'Drama,Biography,Drama,1997-10-03,Fall
2408,tt0337741,Something's Gotta Give,English,USA,128,PG-13,66.0,80000000.0,Columbia Pictures,Best Actress in a Leading Role,1,Nancy Meyers,,Nancy Meyers,Jack Nicholson,Diane Keaton,Keanu Reeves,Comedy' 'Drama,Comedy,Drama,2003-12-12,Winter
2409,tt10199590,Les Misérables,French,France,104,R,78.0,5000000.0,Amazon Studios,Best International Feature Film,9,Ladj Ly,Giordano Gederlini,Ladj Ly,Damien Bonnard,Alexis Manenti,Djebril Zonga,Crime' 'Drama,Crime,Drama,2019-11-20,Fall
2410,tt0079638,Norma Rae,English,USA,114,PG,61.0,52170833.333333336,Twentieth Century Fox,Best Actress in a Leading Role,4,Irving Ravetch,Harriet Frank Jr.,Martin Ritt,Sally Field,Beau Bridges,Ron Leibman,Drama,Drama,,1979-03-02,Winter
2414,tt0087892,A Passage to India,English,UK,164,PG,78.0,16000000.0,Columbia Pictures,Best Actress in a Leading Role,11,E.M. Forster,E.M. Forster,David Lean,Judy Davis,Victor Banerjee,Peggy Ashcroft,Adventure' 'Drama,Adventure,Drama,1985-02-01,Winter
2425,tt0426578,Sophie Scholl: The Final Days,German,Germany,120,Not Rated,76.0,,Zeitgeist Films,Best Foreign Language Film of the Year,1,Fred Breinersdorfer,,Marc Rothemund,Julia Jentsch,Fabian Hinrichs,Alexander Held,Biography' 'Crime,Biography,Crime,2005-02-24,Winter
2426,tt8291806,Pain and Glory,Spanish,Spain,113,R,87.0,11364285.714285715,Sony Pictures Classics,Best Performance by an Actor in a Leading Role,2,Pedro Almodóvar,,Pedro Almodóvar,Antonio Banderas,Asier Etxeandia,Leonardo Sbaraglia,Drama,Drama,,2019-10-04,Fall
2428,tt0097499,Henry V,English,UK,137,PG-13,83.0,9000000.0,The Samuel Goldwyn Company,Best Actor in a Leading Role,3,William Shakespeare,Kenneth Branagh,Kenneth Branagh,Kenneth Branagh,Derek Jacobi,Simon Shepherd,Action' 'Biography,Action,Biography,1989-11-08,Fall
2431,tt0110428,The Madness of King George,English,UK,110,PG-13,89.0,65897768.0,The Samuel Goldwyn Company,Best Actor in a Leading Role,4,Alan Bennett,Alan Bennett,Nicholas Hytner,Nigel Hawthorne,Helen Mirren,Rupert Graves,Biography' 'Comedy,Biography,Comedy,1994-12-28,Winter
2435,tt2396589,Mudbound,English,USA,134,R,85.0,88800000.0,Netflix,Best Performance by an Actress in a Supporting Role,4,Virgil Williams,Dee Rees,Dee Rees,Jason Mitchell,Carey Mulligan,Jason Clarke,Drama' 'War,Drama,War,2017-11-17,Fall
2440,tt0407265,Transamerica,English,USA,103,R,66.0,1000000.0,IFC Films,Best Performance by an Actress in a Leading Role,2,Duncan Tucker,,Duncan Tucker,Felicity Huffman,Kevin Zegers,Fionnula Flanagan,Adventure' 'Comedy,Adventure,Comedy,2006-03-03,Winter
2442,tt0094226,The Untouchables,English,USA,119,R,79.0,25000000.0,Paramount Pictures,Best Actor in a Supporting Role,4,David Mamet,Oscar Fraley,Brian De Palma,Kevin Costner,Sean Connery,Robert De Niro,Crime' 'Drama,Crime,Drama,1987-06-03,Summer
2446,tt0097165,Dead Poets Society,English,USA,128,PG,79.0,16400000.0,Buena Vista Pictures Distribution,Best Actor in a Leading Role,4,Tom Schulman,,Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke,Comedy' 'Drama,Comedy,Drama,1989-06-09,Summer
2450,tt7653254,Marriage Story,English,UK,137,R,94.0,18600000.0,Netflix,Best Motion Picture of the Year,6,Noah Baumbach,,Noah Baumbach,Adam Driver,Scarlett Johansson,Julia Greer,Comedy' 'Drama,Comedy,Drama,2019-12-06,Winter
2456,tt3011894,Wild Tales,Spanish,Argentina,122,R,77.0,3300000.0,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Germán Servidio,Damián Szifron,Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa,Comedy' 'Drama,Comedy,Drama,2014-08-21,Summer
2458,tt0340855,Monster,English,USA,109,R,74.0,8000000.0,Newmarket Films,Best Actress in a Leading Role,1,Patty Jenkins,,Patty Jenkins,Charlize Theron,Christina Ricci,Bruce Dern,Biography' 'Crime,Biography,Crime,2004-01-30,Winter
2459,tt0090563,Betty Blue,French,France,120,Not Rated,56.0,,Alive Films,Best Foreign Language Film,1,Philippe Djian,Jean-Jacques Beineix,Jean-Jacques Beineix,Jean-Hugues Anglade,Béatrice Dalle,Gérard Darmon,Drama' 'Romance,Drama,Romance,1986-11-07,Fall
2460,tt1068646,The Class,French,France,128,PG-13,92.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Laurent Cantet,Robin Campillo,Laurent Cantet,François Bégaudeau,Agame Malembo-Emene,Angélica Sancio,Drama,Drama,,2009-03-13,Winter
2461,tt0376541,Closer,English,USA,104,R,65.0,27000000.0,Sony Pictures Entertainment,Best Performance by an Actor in a Supporting Role,2,Patrick Marber,Patrick Marber,Mike Nichols,Natalie Portman,Jude Law,Clive Owen,Drama' 'Romance,Drama,Romance,2004-12-03,Winter
2463,tt3170902,Theeb,Arabic,United Arab Emirates,100,Not Rated,80.0,,Film Movement,Best Foreign Language Film of the Year,1,Naji Abu Nowar,Bassel Ghandour,Naji Abu Nowar,Jacir Eid Al-Hwietat,Hussein Salameh Al-Sweilhiyeen,Hassan Mutlag Al-Maraiyeh,Adventure' 'Drama,Adventure,Drama,2015-03-19,Winter
2464,tt0169547,American Beauty,English,USA,122,R,84.0,15000000.0,DreamWorks Distribution,Best Actor in a Leading Role,8,Alan Ball,,Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch,Drama,Drama,,1999-10-01,Fall
2473,tt0081283,Ordinary People,English,USA,124,R,86.0,6000000.0,Paramount Pictures,Best Actor in a Supporting Role,5,Judith Guest,Alvin Sargent,Robert Redford,Donald Sutherland,Mary Tyler Moore,Judd Hirsch,Drama,Drama,,1980-09-19,Fall
2478,tt0120255,The Sweet Hereafter,English,Canada,112,R,91.0,8658857.142857144,Fine Line Features,Best Director,2,Russell Banks,Atom Egoyan,Atom Egoyan,Ian Holm,Sarah Polley,Caerthan Banks,Drama,Drama,,1997-11-21,Fall
2480,tt0491747,Away from Her,English,Canada,110,PG-13,88.0,6950000.0,Lions Gate Films,Best Performance by an Actress in a Leading Role,2,Sarah Polley,Alice Munro,Sarah Polley,Julie Christie,Michael Murphy,Gordon Pinsent,Drama,Drama,,2007-05-25,Spring
2483,tt0268126,Adaptation.,English,USA,115,R,83.0,19000000.0,Columbia Pictures,Best Actor in a Leading Role,4,Susan Orlean,Charlie Kaufman,Spike Jonze,Nicolas Cage,Meryl Streep,Chris Cooper,Comedy' 'Drama,Comedy,Drama,2003-02-14,Winter
2487,tt0118632,The Apostle,English,USA,134,PG-13,83.0,5000000.0,,Best Actor in a Leading Role,1,Robert Duvall,,Robert Duvall,Robert Duvall,Todd Allen,Paul Bagget,Drama,Drama,,1998-02-20,Winter
2488,tt1285016,The Social Network,English,USA,120,PG-13,95.0,40000000.0,Columbia Pictures,Best Motion Picture of the Year,8,Aaron Sorkin,Ben Mezrich,David Fincher,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Biography' 'Drama,Biography,Drama,2010-10-01,Fall
2496,tt0080928,Inside Moves,English,USA,113,PG,63.0,,Associated Film Distribution,Best Actress in a Supporting Role,1,Todd Walton,Valerie Curtin,Richard Donner,John Savage,David Morse,Diana Scarwid,Comedy' 'Drama,Comedy,Drama,1981-08-20,Summer
2497,tt0268978,A Beautiful Mind,English,USA,135,PG-13,72.0,58000000.0,Universal Pictures,Best Picture,8,Akiva Goldsman,Sylvia Nasar,Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,Biography' 'Drama,Biography,Drama,2002-01-04,Winter
2505,tt4975722,Moonlight,English,USA,111,R,99.0,4000000.0,A24,Best Motion Picture of the Year,8,Barry Jenkins,Tarell Alvin McCraney,Barry Jenkins,Mahershala Ali,Naomie Harris,Trevante Rhodes,Drama,Drama,,2016-11-18,Fall
2513,tt0099685,Goodfellas,English,USA,146,R,90.0,25000000.0,Warner Bros.,Best Actor in a Supporting Role,6,Nicholas Pileggi,Nicholas Pileggi,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Biography' 'Crime,Biography,Crime,1990-09-21,Fall
2519,tt0181530,East/West,French,Russia,121,PG-13,61.0,11500000.0,Sony Pictures Classics,Best Foreign Language Film,1,Rustam Ibragimbekov,Sergei Bodrov,Régis Wargnier,Oleg Menshikov,Sandrine Bonnaire,Catherine Deneuve,Adventure' 'Drama,Adventure,Drama,2000-05-05,Spring
2520,tt0087932,The Pope of Greenwich Village,English,USA,121,R,58.0,8000000.0,MGM/UA Entertainment Company,Best Actress in a Supporting Role,1,Vincent Patrick,Vincent Patrick,Stuart Rosenberg,Eric Roberts,Mickey Rourke,Daryl Hannah,Action' 'Comedy,Action,Comedy,1984-06-22,Summer
2521,tt0103074,Thelma & Louise,English,USA,130,R,88.0,16500000.0,Metro-Goldwyn-Mayer,Best Actress in a Leading Role,5,Callie Khouri,,Ridley Scott,Susan Sarandon,Geena Davis,Harvey Keitel,Adventure' 'Crime,Adventure,Crime,1991-05-24,Spring
2526,tt1305806,The Secret in Their Eyes,Spanish,Argentina,129,R,80.0,2000000.0,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Eduardo Sacheri,Juan José Campanella,Juan José Campanella,Ricardo Darín,Soledad Villamil,Pablo Rago,Drama' 'Mystery,Drama,Mystery,2010-05-21,Spring
2529,tt0299658,Chicago,English,USA,113,PG-13,81.0,45000000.0,Miramax,Best Picture,12,Bill Condon,Bob Fosse,Rob Marshall,Renée Zellweger,Catherine Zeta-Jones,Richard Gere,Comedy' 'Crime,Comedy,Crime,2003-01-24,Winter
2541,tt0297884,Far from Heaven,English,USA,107,PG-13,84.0,13500000.0,USA Films,Best Actress in a Leading Role,4,Todd Haynes,,Todd Haynes,Julianne Moore,Dennis Quaid,Dennis Haysbert,Drama' 'Romance,Drama,Romance,2003-01-10,Winter
2545,tt1872194,The Judge,English,USA,141,R,48.0,50000000.0,Warner Bros.,Best Performance by an Actor in a Supporting Role,1,Nick Schenk,Bill Dubuque,David Dobkin,Robert Downey Jr.,Robert Duvall,Vera Farmiga,Crime' 'Drama,Crime,Drama,2014-10-10,Fall
2546,tt8267604,Capharnaüm,Arabic,Lebanon,126,R,75.0,4000000.0,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Nadine Labaki,Jihad Hojeily,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Drama,Drama,,2018-09-20,Fall
2547,tt2582782,Hell or High Water,English,USA,102,R,88.0,12000000.0,Lionsgate,Best Motion Picture of the Year,4,Taylor Sheridan,,David Mackenzie,Chris Pine,Ben Foster,Jeff Bridges,Action' 'Crime,Action,Crime,2016-08-26,Summer
2551,tt0120679,Frida,English,Mexico,123,R,61.0,12000000.0,Miramax,Best Actress in a Leading Role,6,Hayden Herrera,Clancy Sigal,Julie Taymor,Salma Hayek,Alfred Molina,Geoffrey Rush,Biography' 'Drama,Biography,Drama,2002-11-22,Fall
2557,tt0087921,Places in the Heart,English,USA,111,PG,70.0,37263157.89473684,TriStar Pictures,Best Actor in a Supporting Role,7,Robert Benton,,Robert Benton,Sally Field,Lindsay Crouse,Ed Harris,Drama,Drama,,1984-10-05,Fall
2564,tt0929632,Precious,English,USA,110,R,78.0,10000000.0,Lionsgate,Best Motion Picture of the Year,6,Geoffrey Fletcher,Sapphire,Lee Daniels,Gabourey Sidibe,"""Mo'Nique""",Paula Patton,Drama,Drama,,2009-11-20,Fall
2570,tt0098067,Parenthood,English,USA,124,PG-13,82.0,20000000.0,Universal Pictures,Best Actress in a Supporting Role,2,Lowell Ganz,Babaloo Mandel,Ron Howard,Steve Martin,Mary Steenburgen,Dianne Wiest,Comedy' 'Drama,Comedy,Drama,1989-08-02,Summer
2572,tt0249462,Billy Elliot,English,UK,110,R,74.0,5000000.0,Universal Focus,Best Actress in a Supporting Role,3,Lee Hall,,Stephen Daldry,Jamie Bell,Julie Walters,Jean Heywood,Drama' 'Music,Drama,Music,2000-11-10,Fall
2575,tt0078966,The China Syndrome,English,USA,122,PG,81.0,6000000.0,Columbia Pictures,Best Actor in a Leading Role,4,Mike Gray,T.S. Cook,James Bridges,Jane Fonda,Jack Lemmon,Michael Douglas,Drama' 'Thriller,Drama,Thriller,1979-03-16,Winter
2579,tt2446980,Joy,English,USA,124,PG-13,56.0,60000000.0,Fox 2000 Pictures,Best Performance by an Actress in a Leading Role,1,David O. Russell,Annie Mumolo,David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Biography' 'Drama,Biography,Drama,2015-12-25,Winter
2581,tt0093565,Moonstruck,English,USA,102,PG,83.0,15000000.0,Metro-Goldwyn-Mayer,Best Actor in a Supporting Role,6,John Patrick Shanley,,Norman Jewison,Cher,Nicolas Cage,Olympia Dukakis,Comedy' 'Drama,Comedy,Drama,1988-01-15,Winter
2587,tt1024648,Argo,English,USA,120,R,86.0,44500000.0,Warner Bros.,Best Motion Picture of the Year,7,Chris Terrio,Tony Mendez,Ben Affleck,Ben Affleck,Bryan Cranston,John Goodman,Biography' 'Drama,Biography,Drama,2012-10-12,Fall
2594,tt4925292,Lady Bird,English,USA,94,R,94.0,10000000.0,A24,Best Motion Picture of the Year,5,Greta Gerwig,,Greta Gerwig,Saoirse Ronan,Laurie Metcalf,Tracy Letts,Comedy' 'Drama,Comedy,Drama,2017-12-01,Winter
2599,tt3409392,Timbuktu,French,Mauritania,96,PG-13,92.0,3000000.0,Cohen Media Group,Best Foreign Language Film of the Year,1,Abderrahmane Sissako,Kessen Tall,Abderrahmane Sissako,Ibrahim Ahmed,Abel Jafri,Toulou Kiki,Drama' 'War,Drama,War,2014-12-10,Winter
2600,tt0099703,The Grifters,English,USA,110,R,86.0,25631250.0,Miramax,Best Actress in a Leading Role,4,Jim Thompson,Donald E. Westlake,Stephen Frears,Anjelica Huston,John Cusack,Annette Bening,Crime' 'Drama,Crime,Drama,1991-01-25,Winter
2604,tt0840361,The Town,English,USA,125,R,74.0,37000000.0,Warner Bros.,Best Performance by an Actor in a Supporting Role,1,Peter Craig,Ben Affleck,Ben Affleck,Ben Affleck,Rebecca Hall,Jon Hamm,Crime' 'Drama,Crime,Drama,2010-09-17,Fall
2605,tt0404203,Little Children,English,USA,137,R,75.0,26000000.0,New Line Cinema,Best Performance by an Actress in a Leading Role,3,Todd Field,Tom Perrotta,Todd Field,Kate Winslet,Jennifer Connelly,Patrick Wilson,Comedy' 'Drama,Comedy,Drama,2007-02-09,Winter
2608,tt0080388,Atlantic City,English,France,104,R,85.0,7200000.0,Paramount Pictures,Best Actor in a Leading Role,5,John Guare,,Louis Malle,Burt Lancaster,Susan Sarandon,Kate Reid,Crime' 'Drama,Crime,Drama,1981-04-03,Spring
2613,tt0161023,Tumbleweeds,English,USA,102,PG-13,75.0,312000.0,Fine Line Features,Best Actress in a Leading Role,1,Angela Shelton,"""Gavin O'Connor""","""Gavin O'Connor""",Janet McTeer,Kimberly J. Brown,Jay O. Sanders,Comedy' 'Drama,Comedy,Drama,2000-03-03,Winter
2614,tt0082846,On Golden Pond,English,USA,109,PG,68.0,46170129.883116886,Universal Pictures,Best Actor in a Leading Role,10,Ernest Thompson,Ernest Thompson,Mark Rydell,Katharine Hepburn,Henry Fonda,Jane Fonda,Drama,Drama,,1982-02-12,Winter
2624,tt0765429,American Gangster,English,USA,157,R,76.0,100000000.0,Universal Pictures,Best Performance by an Actress in a Supporting Role,2,Steven Zaillian,Mark Jacobson,Ridley Scott,Denzel Washington,Russell Crowe,Chiwetel Ejiofor,Biography' 'Crime,Biography,Crime,2007-11-02,Fall
2626,tt5052448,Get Out,English,USA,104,R,85.0,4500000.0,Universal Pictures,Best Motion Picture of the Year,4,Jordan Peele,,Jordan Peele,Daniel Kaluuya,Allison Williams,Bradley Whitford,Horror' 'Mystery,Horror,Mystery,2017-02-24,Winter
2630,tt0101540,Cape Fear,English,USA,128,R,73.0,35000000.0,Universal Pictures,Best Actor in a Leading Role,2,John D. MacDonald,James R. Webb,Martin Scorsese,Robert De Niro,Nick Nolte,Jessica Lange,Crime' 'Thriller,Crime,Thriller,1991-11-15,Fall
2632,tt0096463,Working Girl,English,USA,113,R,73.0,28000000.0,Twentieth Century Fox,Best Actress in a Leading Role,5,Kevin Wade,,Mike Nichols,Melanie Griffith,Harrison Ford,Sigourney Weaver,Comedy' 'Drama,Comedy,Drama,1988-12-21,Winter
2637,tt0095593,Married to the Mob,English,USA,104,R,71.0,10000000.0,Orion Pictures,Best Actor in a Supporting Role,1,Barry Strugatz,Mark R. Burns,Jonathan Demme,Michelle Pfeiffer,Alec Baldwin,Paul Lazar,Comedy' 'Crime,Comedy,Crime,1988-08-19,Summer
2638,tt0086992,The Bostonians,English,UK,122,Not Rated,59.0,,Almi Pictures,Best Actress in a Leading Role,2,Henry James,Ruth Prawer Jhabvala,James Ivory,Christopher Reeve,Vanessa Redgrave,Jessica Tandy,Drama' 'Romance,Drama,Romance,1984-10-05,Fall
2640,tt0110912,Pulp Fiction,English,USA,154,R,94.0,8000000.0,Miramax,Best Actor in a Leading Role,7,Quentin Tarantino,Roger Avary,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Crime' 'Drama,Crime,Drama,1994-10-14,Fall
2648,tt3170832,Room,English,Canada,118,R,86.0,13000000.0,A24,Best Motion Picture of the Year,4,Emma Donoghue,Emma Donoghue,Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,Drama' 'Thriller,Drama,Thriller,2016-01-22,Winter
2652,tt0079826,The Rose,English,USA,125,R,67.0,8500000.0,Twentieth Century Fox,Best Actor in a Supporting Role,4,Bill Kerby,Bo Goldman,Mark Rydell,Bette Midler,Alan Bates,Frederic Forrest,Drama' 'Music,Drama,Music,1979-11-07,Fall
2656,tt0097216,Do the Right Thing,English,USA,120,R,93.0,6500000.0,Universal Pictures,Best Actor in a Supporting Role,2,Spike Lee,,Spike Lee,Danny Aiello,Ossie Davis,Ruby Dee,Comedy' 'Drama,Comedy,Drama,1989-07-21,Summer
2658,tt0088146,A Soldier's Story,English,USA,101,PG,66.0,6000000.0,Columbia Pictures,Best Actor in a Supporting Role,3,Charles Fuller,Charles Fuller,Norman Jewison,Howard E. Rollins Jr.,Adolph Caesar,Art Evans,Crime' 'Drama,Crime,Drama,1984-11-02,Fall
2661,tt5013056,Dunkirk,English,UK,106,PG-13,94.0,100000000.0,Warner Bros.,Best Motion Picture of the Year,8,Christopher Nolan,,Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Action' 'Drama,Action,Drama,2017-07-21,Summer
2669,tt0099334,Cyrano de Bergerac,French,France,137,PG,79.0,6100000.0,Orion Classics,Best Actor in a Leading Role,5,Edmond Rostand,Jean-Paul Rappeneau,Jean-Paul Rappeneau,Gérard Depardieu,Anne Brochet,Vincent Perez,Comedy' 'Drama,Comedy,Drama,1990-12-01,Winter
2674,tt0099653,Ghost,English,USA,127,PG-13,52.0,22000000.0,Paramount Pictures,Best Actress in a Supporting Role,5,Bruce Joel Rubin,,Jerry Zucker,Patrick Swayze,Demi Moore,Whoopi Goldberg,Drama' 'Fantasy,Drama,Fantasy,1990-07-13,Summer
2679,tt0111161,The Shawshank Redemption,English,USA,142,R,80.0,25000000.0,Columbia Pictures,Best Actor in a Leading Role,7,Stephen King,Frank Darabont,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,Drama,Drama,,1994-10-14,Fall
2686,tt0315733,21 Grams,English,USA,124,R,70.0,20000000.0,Focus Features,Best Actress in a Leading Role,2,Guillermo Arriaga,,Alejandro G. Iñárritu,Sean Penn,Benicio Del Toro,Naomi Watts,Crime' 'Drama,Crime,Drama,2004-01-16,Winter
2688,tt1263670,Crazy Heart,English,USA,112,R,83.0,7000000.0,Fox Searchlight Pictures,Best Performance by an Actor in a Leading Role,3,Scott Cooper,Thomas Cobb,Scott Cooper,Jeff Bridges,Maggie Gyllenhaal,Colin Farrell,Drama' 'Music,Drama,Music,2010-02-05,Winter
2691,tt0189998,Shadow of the Vampire,English,UK,92,R,71.0,8000000.0,Lions Gate Films Home Entertainment,Best Actor in a Supporting Role,2,Steven Katz,,E. Elias Merhige,John Malkovich,Willem Dafoe,Udo Kier,Drama' 'Horror,Drama,Horror,2001-01-26,Winter
2693,tt0094608,The Accused,English,Canada,111,R,65.0,13000000.0,Paramount Pictures,Best Actress in a Leading Role,1,Tom Topor,,Jonathan Kaplan,Kelly McGillis,Jodie Foster,Bernie Coulson,Crime' 'Drama,Crime,Drama,1988-10-14,Fall
2695,tt0100157,Misery,English,USA,107,R,75.0,20000000.0,Columbia Pictures,Best Actress in a Leading Role,1,Stephen King,William Goldman,Rob Reiner,James Caan,Kathy Bates,Richard Farnsworth,Drama' 'Thriller,Drama,Thriller,1990-11-30,Fall
